x;y
120;-118
120;-111
120;-108
120;-105
120;-102
120;-98
120;-92
120;-89
120;-85
120;-79
120;-79
120;-79
120;-79
120;-79
120;-79
120;-79
120;-79
120;-79
120;-79
120;-79
120;-77
120;-75
120;-71
120;-69
120;-67
120;-67
120;-67
120;-67
120;-67
120;-67
120;-67
120;-67
120;-67
120;-67
120;-65
120;-63
120;-60
120;-58
120;-53
120;-50
120;-49
120;-45
120;-44
120;-42
120;-40
120;-40
120;-40
120;-40
120;-40
120;-39
120;-37
120;-35
120;-34
120;-32
120;-28
120;-25
120;-23
120;-18
120;-15
120;-15
120;-15
120;-15
120;-15
120;-15
120;-15
120;-15
120;-15
120;-15
120;-15
120;-13
120;-8
120;-6
120;-3
120;0
120;0
120;0
120;0
120;0
120;0
120;0
120;0
120;0
120;0
120;0
120;4
120;7
120;13
120;17
120;20
120;20
120;20
120;20
120;20
120;20
120;20
120;20
120;20
120;20
120;22
120;25
120;29
120;32
120;38
120;42
120;43
120;43
120;43
120;43
120;43
120;43
120;43
120;43
120;43
120;43
120;47
120;50
120;53
120;60
120;63
120;64
120;66
120;67
120;70
120;72
120;72
120;72
120;72
120;72
120;72
120;73
120;76
120;78
120;79
120;81
120;85
120;88
120;90
120;93
120;97
120;97
120;97
120;97
120;97
120;97
120;97
120;97
120;97
120;97
120;97
120;100
120;105
120;107
120;110
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;112
120;115
120;122
120;125
120;128
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;129
120;128
120;126
120;124
120;121
120;119
120;119
120;119
120;119
120;119
120;119
